Course Number,Course Title,Room,Schedule,Days,Time Tuple
CSCI110101,Computer Science I,107,MWF 01:00PM-01:50PM,MWF,"(780, 830)"
CSCI110103,Computer Science I,107,MWF 02:00PM-02:50PM,MWF,"(840, 890)"
CSCI110104,Computer Science I,102,TuTh 10:30AM-11:45AM,TuTh,"(630, 705)"
CSCI110106,Computer Science I,230,MW 03:00PM-04:15PM,MW,"(900, 975)"
CSCI110110,Computer Science I,123,W 02:00PM-02:50PM,W,"(840, 890)"
CSCI110112,Computer Science I,123,W 03:00PM-03:50PM,W,"(900, 950)"
CSCI110113,Computer Science I,103,W 03:00PM-03:50PM,W,"(900, 950)"
CSCI110115,Computer Science I,123,Th 03:00PM-03:50PM,Th,"(900, 950)"
CSCI110116,Computer Science I,103,Th 05:00PM-05:50PM,Th,"(1020, 1070)"
CSCI110118,Computer Science I,103,W 02:00PM-02:50PM,W,"(840, 890)"
CSCI110119,Computer Science I,123,Th 04:00PM-04:50PM,Th,"(960, 1010)"
CSCI110121,Computer Science I,123,Tu 03:00PM-03:50PM,Tu,"(900, 950)"
CSCI110122,Computer Science I,123,Tu 02:00PM-02:50PM,Tu,"(840, 890)"
CSCI110124,Computer Science I,123,Th 06:00PM-06:50PM,Th,"(1080, 1130)"
CSCI110125,Computer Science I,103,Th 03:00PM-03:50PM,Th,"(900, 950)"
CSCI110127,Computer Science I,103,Tu 05:00PM-05:50PM,Tu,"(1020, 1070)"
CSCI110201,Computer Science II,229,TuTh 09:00AM-10:15AM,TuTh,"(540, 615)"
CSCI110210,Computer Science II,123,Tu 05:00PM-05:50PM,Tu,"(1020, 1070)"
CSCI110212,Computer Science II,123,M 06:00PM-06:50PM,M,"(1080, 1130)"
CSCI110213,Computer Science II,103,M 05:00PM-05:50PM,M,"(1020, 1070)"
CSCI110215,Computer Science II,123,Tu 06:00PM-06:50PM,Tu,"(1080, 1130)"
CSCI110216,Computer Science II,123,Th 05:00PM-05:50PM,Th,"(1020, 1070)"
CSCI110218,Computer Science II,123,Th 01:00PM-01:50PM,Th,"(780, 830)"
CSCI222701,Introduction to Scientific Computation,125,MWF 02:00PM-02:50PM,MWF,"(840, 890)"
CSCI224302,Logic and Computation,229,TuTh 12:00-01:15PM,TuTh,"(720, 795)"
CSCI224402,Randomness and Computation,230,TuTh 01:30PM-02:45PM,TuTh,"(810, 885)"
CSCI225402,Web Application Development,102,TuTh 03:00PM-04:15PM,TuTh,"(900, 975)"
CSCI226101,Media Ethics in the Digital Age,125,TuTh 04:30PM-05:45PM,TuTh,"(990, 1065)"
CSCI227102,Computer Systems,102,MWF 10:00AM-10:50AM,MWF,"(600, 650)"
CSCI227201,Computer Organization and Lab,125,TuTh 09:00AM-10:15AM,TuTh,"(540, 615)"
CSCI227203,Computer Organization and Lab,125,TuTh 10:30AM-11:45AM,TuTh,"(630, 705)"
CSCI227204,Computer Organization and Lab,103,W 06:00PM-07:50PM,W,"(1080, 1190)"
CSCI227206,Computer Organization and Lab,103,Tu 03:00PM-04:50PM,Tu,"(900, 1010)"
CSCI229101,Data Science: Methods and Applications,230,TuTh 03:00PM-04:15PM,TuTh,"(900, 975)"
CSCI335801,Foundations of algorithmic (un)fairness,125,245 Beacon Street Room 125A TuTh 09:00AM-10:15AM,TuTh,"(540, 615)"
CSCI336301,Human-AI Interaction,125,245 Beacon Street Room 125A TuTh 03:00PM-04:15PM,TuTh,"(900, 975)"
CSCI336302,Computer Networks,229,MWF 02:00PM-02:50PM,MWF,"(840, 890)"
